"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"628","3_4","EF",3,"G06","well2","F4","384_Master","Master_Library_DWPlate",30
"629","3_5-min","EF",3,"L11","well2","F5","384_Master","Master_Library_DWPlate",30
"630","3_6-DMSO","EF",3,"D24","well2","F6","384_Master","Master_Library_DWPlate",30
"631","4_1-max","EF",3,"N08","well2","F1","384_Master","Master_Library_DWPlate",30
"632","4_2","EF",3,"P01","well2","F2","384_Master","Master_Library_DWPlate",30
"633","4_3","EF",3,"H11","well2","F3","384_Master","Master_Library_DWPlate",30
"634","4_4","EF",3,"K05","well2","F4","384_Master","Master_Library_DWPlate",30
"635","4_5-min","EF",3,"K03","well2","F5","384_Master","Master_Library_DWPlate",30
"636","4_6-DMSO","EF",3,"N23","well2","F6","384_Master","Master_Library_DWPlate",30
"637","5-min_1-max","EF",3,"F10","well2","F1","384_Master","Master_Library_DWPlate",30
"638","5-min_2","EF",3,"C08","well2","F2","384_Master","Master_Library_DWPlate",30
"639","5-min_3","EF",3,"C13","well2","F3","384_Master","Master_Library_DWPlate",30
"640","5-min_4","EF",3,"I01","well2","F4","384_Master","Master_Library_DWPlate",30
"641","5-min_5-min","EF",3,"I12","well2","F5","384_Master","Master_Library_DWPlate",30
"642","5-min_6-DMSO","EF",3,"C21","well2","F6","384_Master","Master_Library_DWPlate",30
"643","6-DMSO_1-max","EF",3,"K19","well2","F1","384_Master","Master_Library_DWPlate",30
"644","6-DMSO_2","EF",3,"N01","well2","F2","384_Master","Master_Library_DWPlate",30
"645","6-DMSO_3","EF",3,"P14","well2","F3","384_Master","Master_Library_DWPlate",30
"646","6-DMSO_4","EF",3,"J23","well2","F4","384_Master","Master_Library_DWPlate",30
"647","6-DMSO_5-min","EF",3,"C15","well2","F5","384_Master","Master_Library_DWPlate",30
"648","6-DMSO_6-DMSO","EF",3,"M09","well2","F6","384_Master","Master_Library_DWPlate",30
