"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"101","5-min_5-min","AB",3,"J04","well1","A5","384_Master","Master_Library_DWPlate",30
"102","5-min_6-DMSO","AB",3,"A22","well1","A5","384_Master","Master_Library_DWPlate",30
"103","6-DMSO_1-max","AB",3,"J09","well1","A6","384_Master","Master_Library_DWPlate",30
"104","6-DMSO_2","AB",3,"O13","well1","A6","384_Master","Master_Library_DWPlate",30
"105","6-DMSO_3","AB",3,"E20","well1","A6","384_Master","Master_Library_DWPlate",30
"106","6-DMSO_4","AB",3,"G17","well1","A6","384_Master","Master_Library_DWPlate",30
"107","6-DMSO_5-min","AB",3,"L24","well1","A6","384_Master","Master_Library_DWPlate",30
"108","6-DMSO_6-DMSO","AB",3,"H12","well1","A6","384_Master","Master_Library_DWPlate",30
"109","1-max_1-max","CD",1,"A02","well1","C1","384_Master","Master_Library_DWPlate",30
"110","1-max_2","CD",1,"L14","well1","C1","384_Master","Master_Library_DWPlate",30
"111","1-max_3","CD",1,"P09","well1","C1","384_Master","Master_Library_DWPlate",30
"112","1-max_4","CD",1,"F07","well1","C1","384_Master","Master_Library_DWPlate",30
"113","1-max_5-min","CD",1,"E24","well1","C1","384_Master","Master_Library_DWPlate",30
"114","1-max_6-DMSO","CD",1,"I09","well1","C1","384_Master","Master_Library_DWPlate",30
"115","2_1-max","CD",1,"O09","well1","C2","384_Master","Master_Library_DWPlate",30
"116","2_2","CD",1,"I24","well1","C2","384_Master","Master_Library_DWPlate",30
"117","2_3","CD",1,"A05","well1","C2","384_Master","Master_Library_DWPlate",30
"118","2_4","CD",1,"I18","well1","C2","384_Master","Master_Library_DWPlate",30
"119","2_5-min","CD",1,"P19","well1","C2","384_Master","Master_Library_DWPlate",30
"120","2_6-DMSO","CD",1,"E04","well1","C2","384_Master","Master_Library_DWPlate",30
"121","3_1-max","CD",1,"B01","well1","C3","384_Master","Master_Library_DWPlate",30
"122","3_2","CD",1,"F23","well1","C3","384_Master","Master_Library_DWPlate",30
"123","3_3","CD",1,"K01","well1","C3","384_Master","Master_Library_DWPlate",30
"124","3_4","CD",1,"L12","well1","C3","384_Master","Master_Library_DWPlate",30
"125","3_5-min","CD",1,"C06","well1","C3","384_Master","Master_Library_DWPlate",30
"126","3_6-DMSO","CD",1,"M22","well1","C3","384_Master","Master_Library_DWPlate",30
"127","4_1-max","CD",1,"H03","well1","C4","384_Master","Master_Library_DWPlate",30
"128","4_2","CD",1,"I05","well1","C4","384_Master","Master_Library_DWPlate",30
"129","4_3","CD",1,"O08","well1","C4","384_Master","Master_Library_DWPlate",30
"130","4_4","CD",1,"M02","well1","C4","384_Master","Master_Library_DWPlate",30
"131","4_5-min","CD",1,"A23","well1","C4","384_Master","Master_Library_DWPlate",30
"132","4_6-DMSO","CD",1,"K04","well1","C4","384_Master","Master_Library_DWPlate",30
"133","5-min_1-max","CD",1,"H17","well1","C5","384_Master","Master_Library_DWPlate",30
"134","5-min_2","CD",1,"H16","well1","C5","384_Master","Master_Library_DWPlate",30
"135","5-min_3","CD",1,"L05","well1","C5","384_Master","Master_Library_DWPlate",30
"136","5-min_4","CD",1,"F19","well1","C5","384_Master","Master_Library_DWPlate",30
"137","5-min_5-min","CD",1,"H21","well1","C5","384_Master","Master_Library_DWPlate",30
"138","5-min_6-DMSO","CD",1,"I10","well1","C5","384_Master","Master_Library_DWPlate",30
"139","6-DMSO_1-max","CD",1,"H19","well1","C6","384_Master","Master_Library_DWPlate",30
"140","6-DMSO_2","CD",1,"D07","well1","C6","384_Master","Master_Library_DWPlate",30
"141","6-DMSO_3","CD",1,"E08","well1","C6","384_Master","Master_Library_DWPlate",30
"142","6-DMSO_4","CD",1,"I23","well1","C6","384_Master","Master_Library_DWPlate",30
"143","6-DMSO_5-min","CD",1,"N04","well1","C6","384_Master","Master_Library_DWPlate",30
"144","6-DMSO_6-DMSO","CD",1,"E09","well1","C6","384_Master","Master_Library_DWPlate",30
"145","1-max_1-max","CD",2,"L16","well1","C1","384_Master","Master_Library_DWPlate",30
"146","1-max_2","CD",2,"I07","well1","C1","384_Master","Master_Library_DWPlate",30
"147","1-max_3","CD",2,"F21","well1","C1","384_Master","Master_Library_DWPlate",30
"148","1-max_4","CD",2,"B07","well1","C1","384_Master","Master_Library_DWPlate",30
"149","1-max_5-min","CD",2,"D12","well1","C1","384_Master","Master_Library_DWPlate",30
"150","1-max_6-DMSO","CD",2,"H24","well1","C1","384_Master","Master_Library_DWPlate",30
"151","2_1-max","CD",2,"B23","well1","C2","384_Master","Master_Library_DWPlate",30
"152","2_2","CD",2,"P08","well1","C2","384_Master","Master_Library_DWPlate",30
"153","2_3","CD",2,"O15","well1","C2","384_Master","Master_Library_DWPlate",30
"154","2_4","CD",2,"D09","well1","C2","384_Master","Master_Library_DWPlate",30
"155","2_5-min","CD",2,"E14","well1","C2","384_Master","Master_Library_DWPlate",30
"156","2_6-DMSO","CD",2,"M13","well1","C2","384_Master","Master_Library_DWPlate",30
"157","3_1-max","CD",2,"C03","well1","C3","384_Master","Master_Library_DWPlate",30
"158","3_2","CD",2,"A04","well1","C3","384_Master","Master_Library_DWPlate",30
"159","3_3","CD",2,"A19","well1","C3","384_Master","Master_Library_DWPlate",30
"160","3_4","CD",2,"P16","well1","C3","384_Master","Master_Library_DWPlate",30
"161","3_5-min","CD",2,"G04","well1","C3","384_Master","Master_Library_DWPlate",30
"162","3_6-DMSO","CD",2,"I17","well1","C3","384_Master","Master_Library_DWPlate",30
"163","4_1-max","CD",2,"H20","well1","C4","384_Master","Master_Library_DWPlate",30
"164","4_2","CD",2,"D19","well1","C4","384_Master","Master_Library_DWPlate",30
"165","4_3","CD",2,"F22","well1","C4","384_Master","Master_Library_DWPlate",30
"166","4_4","CD",2,"A12","well1","C4","384_Master","Master_Library_DWPlate",30
"167","4_5-min","CD",2,"D11","well1","C4","384_Master","Master_Library_DWPlate",30
"168","4_6-DMSO","CD",2,"N03","well1","C4","384_Master","Master_Library_DWPlate",30
"169","5-min_1-max","CD",2,"N16","well1","C5","384_Master","Master_Library_DWPlate",30
"170","5-min_2","CD",2,"C12","well1","C5","384_Master","Master_Library_DWPlate",30
"171","5-min_3","CD",2,"F04","well1","C5","384_Master","Master_Library_DWPlate",30
"172","5-min_4","CD",2,"G22","well1","C5","384_Master","Master_Library_DWPlate",30
"173","5-min_5-min","CD",2,"M10","well1","C5","384_Master","Master_Library_DWPlate",30
"174","5-min_6-DMSO","CD",2,"G13","well1","C5","384_Master","Master_Library_DWPlate",30
"175","6-DMSO_1-max","CD",2,"O12","well1","C6","384_Master","Master_Library_DWPlate",30
"176","6-DMSO_2","CD",2,"F02","well1","C6","384_Master","Master_Library_DWPlate",30
"177","6-DMSO_3","CD",2,"G02","well1","C6","384_Master","Master_Library_DWPlate",30
"178","6-DMSO_4","CD",2,"A20","well1","C6","384_Master","Master_Library_DWPlate",30
"179","6-DMSO_5-min","CD",2,"G23","well1","C6","384_Master","Master_Library_DWPlate",30
"180","6-DMSO_6-DMSO","CD",2,"O24","well1","C6","384_Master","Master_Library_DWPlate",30
"181","1-max_1-max","CD",3,"K11","well1","C1","384_Master","Master_Library_DWPlate",30
"182","1-max_2","CD",3,"K22","well1","C1","384_Master","Master_Library_DWPlate",30
"183","1-max_3","CD",3,"N12","well1","C1","384_Master","Master_Library_DWPlate",30
